,key,name,Bus_Variant
401,9,Polo Park,24-0-U
402,29,University of Winnipeg,24-0-U
403,35,Unicity,24-0-U
404,36,Polo Park,24-0-U
405,224,Balmoral Station,24-0-U
406,217,Strauss Dr,24-0-U
407,9,Polo Park,24-1-P
408,36,Polo Park,24-1-P
409,9,Polo Park,24-1-#
410,36,Polo Park,24-1-#
411,59,Red River College,26-0-P
412,9,Polo Park,26-0-P
413,36,Polo Park,26-0-P
414,59,Red River College,26-1-C
415,10,City Hall,26-1-C
416,36,Polo Park,26-1-C
417,59,Red River College,26-0-T
418,9,Polo Park,26-0-T
419,36,Polo Park,26-0-T
420,11,Health Sciences Centre,23-0-A
421,5,Downtown,23-0-A
422,258,Legislature,23-0-A
423,271,Union Station,23-0-A
424,11,Health Sciences Centre,23-1-C
425,10,City Hall,23-1-C
426,5,Downtown,23-1-C
427,258,Legislature,23-1-C
428,11,Health Sciences Centre,28-0-I
429,59,Red River College,28-0-I
430,70,Keewatin & Inkster,28-0-I
431,44,Notre Dame,28-0-I
432,11,Health Sciences Centre,28-1-D
433,10,City Hall,28-1-D
434,59,Red River College,28-1-D
435,5,Downtown,28-1-D
436,11,Health Sciences Centre,28-0-O
437,59,Red River College,28-0-O
438,60,Omand's Creek,28-0-O
439,44,Notre Dame,28-0-O
440,29,University of Winnipeg,25-0-U
441,35,Unicity,25-0-U
442,36,Polo Park,25-0-U
443,224,Balmoral Station,25-0-U
444,217,Strauss Dr,25-0-U
445,10,City Hall,25-1-D
446,5,Downtown,25-1-D
447,35,Unicity,25-1-D
448,36,Polo Park,25-1-D
449,86,Garden City Centre,38-0-T
450,5,Downtown,38-0-T
451,87,Seven Oaks Hospital,38-0-T
452,203,Templeton & McPhillips,38-0-T
453,229,Templeton & Salter,38-1-F
454,97,The Forks,38-1-F
455,5,Downtown,38-1-F
456,81,Oak Point,31-1-D
457,11,Health Sciences Centre,31-1-D
458,10,City Hall,31-1-D
459,5,Downtown,31-1-D
460,160,Tyndall Park,31-1-D
461,11,Health Sciences Centre,31-0-M
462,61,Logan,31-0-M
463,81,Oak Point,31-0-O
464,11,Health Sciences Centre,31-0-O
465,160,Tyndall Park,31-0-O
466,61,Logan,31-0-O
467,11,Health Sciences Centre,33-0-J
468,89,Maples,33-0-J
469,162,Burrows,33-0-J
470,91,Jefferson,33-0-J
471,132,McPhillips,33-0-J
472,11,Health Sciences Centre,33-1-D2
473,89,Maples,33-1-D2
474,5,Downtown,33-1-D2
475,11,Health Sciences Centre,33-0-M
476,89,Maples,33-0-M
477,162,Burrows,33-0-M
478,132,McPhillips,33-0-M
479,90,Mapleglen,33-0-M
480,188,Amber Trails,33-0-M
481,11,Health Sciences Centre,33-1-D
482,5,Downtown,33-1-D
483,188,Amber Trails,33-1-D
484,89,Maples,33-1-Mc
485,88,McPhillips & Mapleglen,33-1-Mc
486,188,Amber Trails,33-1-Mc
